abb,exp,chemical,disease,simple_chemical
ER,"External	rotation",corenea,cystitis,chlorhexidine .
ESWT,"Extracorporeal	Shockwave	Therapy",corticosteroids,cystitis-adivsed,ciclosporin
Ex,Exercise,cortisol,cyst-like ' mass,clindamycin
Ext,Extention,creatinine,cysto,clorexyderm oto
F/u,"Follow	up",crepuitus,cysto dt weight,clorhexidine
FES,"Functional	electrical	stimulation",crustiness,dandruff,contine
FeWB,"Feather	weight	bearing",crystalluria,ddxs - wart,contineu metacam
Flex,Flexion,cyclosporin,deafness,creatinine
FWB,"Full	weight	bearing",cyst/lipoma,death,cruciate If
GHJ,"Glenohumeral	joint",cystitis,debride abscess,crusts Intranasal
"Gt	/	GT","Gait	training",cytarabine,declines investigation,crystalluria
HEP,"Home	exercise	program",dantrium,defecation,cyclosporin
"HP	","Hot	pack",demeanor appetite,deficitis,cyclosporin drops
HPI,"History	of	present	injury",demat/examine,degenerative and neoplastic conditions,cytarabine inj
IE,"Initial	examination",depo,degenerative joint disease,cytopoint 30 inj
IFC,"Interferential	current",depo-medrone,degenerative lumbosacral disease,cytopoint inj
IMS,"Intramuscular	stimulation",dermatitis,degenergative joint disease left fore,dayly chlorhexadise
IR,"Internal	rotation",dermisol,dehydration,depo
Isom,Isommetric,dex,dematitis,dexafort
Jt,Joint,dexamethasone,depressed,dextromethorphan
L/S,"Lumbar	spine",dextromethorphan,depression,dg
LBP,"Low	back	pain",diazepam,Dermatitis,dhpl4
LLLT,"Low	level	laser	therapy",diet - moderate calorie,dermatitis,diazepam
LMNL,"Lower	motor	neuron	lesion",dimethylarginine,deterioation,diazepam first line
LSJx,"Lumbosacral	junction",duphacycline,DH,dilute hibi
LTG,"Long	term	goals",efavet,diabetes,dilute iodine .
MNS,"Microcurrent	electrical	nerve	stimulator",endectrid,diabetes insipidus,dilute iodine and
MFR,"Myofascial	release",eosin,Diabetes mellitus,dimazon
mm,Muscle,corticosteroids,Diabetes mellitus Vesicular stomatitis renal Vesicular stomatitis,dipsense flea/worm
MMT,"Manual	muscle	test",cortisol,diabetes Vomiting stable-,efavet
Mobs,Mobilizations,creatinine,diabetic,endec ''
MT,"Manual	therapy",crepuitus,diabetic dry,endectrid -
MTrP,"Myofascial	triggerpoint",crustiness,diagnosied,endectrid 4.95
MVA,"Motor	vehicle	accident",crystalluria,diarhoea,endectrid then
NAGS,"Natural	apophyseal	glides",cyclosporin,diarr - CE,engorged/more
NDT,"Neurodevelopmental	technique",cyst/lipoma,Diarrhea,epiphen
NMES,"Neuromuscular	electrical	stimulation",cystitis,diarrhea,erduce
NMR,"Neuromuscular	re-education",cytarabine,diarrheoa,eryth
NS,"No	show",dantrium,Diarrhoea,eryth dors hind
NWB,"Non-weight	bearing",demeanor appetite,diarrhoea,erythaematous
OKC,"Open	kinetic	chain",depo,diarrohea,erythemm
AF, Atrial Fibrillation,depo-medrone,diet/weight loss,etacam
CV, Cardiovascular,dermatitis,dietary indiscretion,evets
DDD, Degenerative Disc Disease,dermisol,dietary indiscretion Vesicular stomatitis,exerciose
DJD, Degenerative Joint Disease,dex,dietary intolerance,famotidine
FeLV, Feline Leukemia Virus,dexamethasone,Digit amputation,famotidine 10mgs
FX, Fracture,dextromethorphan,digit loss,felyway difuser Intranasal
HBC, Hit by Car,diazepam,Dilated cardiomyopathy,finsh synclav
HD, Hip Dysplasia,dimethylarginine,dirt and skin quite pink At night lumbar,flamazine
HW, Heartworm,duphacycline,Disc disease transmission,flamazine cream
Sz, Seizure,epiphen,disc herniation,flea/wormer - Owner
URI, Upper Respiratory Infection,equine,discharge- lick trauma,florinef
UTI, Urinary Tract Infection,equine encephalomyelitis,discomfort around bladder palpation,flourescein
Ac, Before Meals,euth,discomfort eating,fluo
BID, Twice Per Day,evets,discomfort to medial elbow palp as before,fluor
EOD, Every Other Day,excam,dislocation,fluorescein
PRN, As Needed,exocin,disorder,fluorescein - large ulcer central cornea
Q, Every q4hrs means every 4 hours,eyedrops,disorientation,fluorescein dye
QD, Every Day,fIC,distended abdomen,fluorescin
PE, Physical Exam,famotidine,distichiasis,fluorescin -ve
HR, Heart Rate,fatty acids,distress,fluoroscein
BP, Blood Pressure,fbs,distress - Vomiting,fluorscein
BPM, Beats or Breaths Per Minute,feces,dorsum diffuse scabby crusty lesions,fluourescent dye
Bx, Biopsy,feliway,dribbling,fluro
ECG or EKG, Electrocardiogram,few scabs,dribbly mouth,fluro stain applied .
RR, Respiration Rate,fimr,drooling,fluroscein
UA, Urinalysis,finalk,droop,folate cobalamin blood
US, Ultrasound,fiorm,drooping lower lids,forlast 2
AD, Auris Dextra for right ear,flamazine,droopy,fructosamine Intranasal 4
AU, Auris Uterque for both ears,flamazine cream - explained,dry,frusemide
Q48h,Every other day,folate,Dry Cough,fucidin
EOD,Every other day,Fructosamine,dry cough,fucithalmic
q24h,Once a day,Frusemide,Dry Cough Syrup,furosemide
SID,Once a day,Fucidin,dry coughing spasm,furosemide tablets
UID,Once a day,Furosemide,dry crust,galastop
OD,Once a day,Galastop,dry crusts,gastroprotectant
q12h ,Twice a day,Glucosamine,dry crusty skin,gastroprotectants
BID ,Twice a day,Glucosamine Hydrochloric acid,dry flaky skin,i/m furosemide Respiratory
BD ,Twice a day,Glucose,dry hacking,i/v a/biotics
q8h ,Three times a day ,Glutamate-oxaloacetate,Dry hacking cough,inj 0.2ml zycortal
TID ,Three times a day ,Hibi,Dry hyperpigmented,inj artuvetrin inj 1ml midline
q6h ,Four times a day ,Hibiscrub/salt,dry lump faeces - better last heart,inj metacam
QID ,Four times a day ,Incuring,dry scab,intravenous fluid
q4h ,Every 4 hours ,Iodine,dry scabbing,ivf
ACTH,Adrenocorticotropic Hormone,Isathal,Dry skin,ket
ADP,Adenosine Diphosphate,Ketamine,dry skin,ket 0.14ml
ALT,Alanine Aminotransferase,Lactulose,dry thrive,lactulose
AST,Aspartate Aminotransferase,Maropitant,dry throaty ? eating,loratadine
ATP,Adenosine Triphosphate,Maxitrol,duct ectasia,loxicom
bid,Twice a day,Melox,DUDE,lymhp nodes
bpm,Beats per minute,Meloxicam,dysphagia,maropitant
BUN,Blood Urea Nitrogen,Methadone,dysphoric,maropitant injection
C,Celsius Centigrade,Methimazole,dysplasia pain,maxitrol
cal,Calories,Metronidazole,Dyspnoea,maxitrol 1
CBCs,Complete Blood Counts,Milbiworm,dyspnoea,maxitrol Owner
CDC,Centers for Disease Control and Prevention,Mirtazapine,Dystocia,maxitrol for
CFU,Colony-forming unit,Morphine,dysuria,meloxicam
CK,Creatine Kinase,Nobivacdhp,eating - hasn & apos,metaca Subcutaneously
cm,Centimeters,nobivacdhp - A119D01,"eating , Vomiting lethargic",metatarsal 4
CNS,Central Nervous System,"nobivacdhp A090e01 , Â ",eating better - chicken,methadone
CPK,Creatine Phosphokinase,nobivacdhp A096A01,Eating defecating,metronidazol 400mg
CPR,Cardiopulmonary Resuscitation,nobivacdhp A101F01,eating defecating,metronidazole
CSF,Cerebrospinal Fluid,nobivacdhp A110B02 L4A079A01,Eating dry,metronidazole left
CT,Computed Tomography,nobivacdhp A120E01 Â ,Eating dry,miaows
cu,Cubic,nobivacdhp Nobivaclepto2 - A113B01 A418A01 - 28/6/18,eating dry grain,mid-dec
DIC,Disseminated Intravascular Coagulation,nobivacdhp Nobivaclepto2 - A11E01 A213A01,Eating grass,mid/cd abdomen small apricot
dL,Deciliters,nobivacdhp Nobivaclepto4 Â ,eating grass,midazolam
DNA,Deoxyribonucleic Acid,nobivacdhp a106e02 exp 10-2018,eating her biscuits,midazolam/ketamine
ECG,Electrocardiogram,nobivacdhp a111c01/04-2019,eating her skin etc underneath the mats,miniise steroid
EDTA,Ethylenediaminetetraacetic Acid,nobivacdhp a117c01/ Nobivaclepto4 a099a01/ Â ,Eating Intra-thoracic,minims - lots
eg,For example,nobivacdhp lepto4,eating Intra-thoracic,montiro
ELISA,Enzyme-Linked Immunosorbent Assay,nobviac tricat,eating problems,morphine
EPA,Environmental Protection Agency,oclacitinib,eating quite,mosit capillary
EPG,Eggs per gram of feces,oint,eating Vomiting,mucus/blood tinge
ER,Emergency Room,omeprazol,eats Intra-thoracic,myxo
etseq,And the following ones,omeprazole,ectropion,myxo RHD
EU,European Union,otodine,edema,narowed
F,Fahrenheit,oxycare,effusion,nec/am
FDA,Food and Drug Administration,oxytetracycline,elbow arthritis,neighboiurs
fL,Femtoliters,paracetamol,elbow displasia,nelio
ft,feet,paracetamol/,elbow flexion,neovasc
g,Grams,paracetomol,emesis,nobivac
gal,Gallons,pardale,emphysema,noc oncerns
GI,Gastrointestinal,pentofel 185585,Emptied anal glands - fairly,noce
GnRH,Gonadotropin-Releasing Hormone,perineium,Emptied anal glands - fairly,nsaids/ tramadol
H&E,Hematoxylin and Eosin,permanganate,Empty Anal Glands,nuight
Hgb,Hemoglobin,permethrin,Empty Anal Glands - bilaterally,nuitrabio Re-examine
hr,Hours,pholcodine,Empty Anal Glands - both,o-
ICU,Intensive Care Unit,phosphate,Empty Anal Glands - empty,o/w
ie,That is,pilocarpine,Empty Anal Glands - full esp L.,oatmeal shampoos
Ig,"Immunoglobulin with class following: A, D, E, G, or M",piriton,Empty Anal Glands - moderately,ocas vomiting furballs
IL,Interleukin,poly lymphadenopathy-,Empty Anal Glands - same,oclacitinib
IM,Intramuscularly,polymixin B,Empty Anal Glands - very,okayl
ACTH,Adrenocorticotropic hormone,polymixin b topicals,Empty Anal Glands - Vomiting,omeprazol
ADP,Adenosine diphosphate,poultice,Empty Anal Glands bilat watery,omeprazole
ALT,Alanine aminotransferase,praziquantel,endocrine disorder,omeprazole ( 1 tablet Â 
AST,Aspartate aminotransferase,prednisolone,enema,omeprazole Iodine authorise
ATP,Adenosine triphosphate,preopshts,"enlargement of both kidneys , spleen both hard and",opthamologist
BUN,Blood urea nitrogen,primapose,enlargement of the kidney,osteotomy/ tibia
CBCs,Complete blood counts,primary dhp/l4 a096a01/a043b01 '',enteritis,osurnia
CDC,Centers for Disease Control and Prevention,,enteritis/colitis,otehr
CFU,Colony-forming unit,,Entire - prostate Vomiting,otgherwise
CK,Creatine kinase,,entropion,otherwse
CNS,Central nervous system,,epidermal follicular cyst,otodine
CPK,Creatine phosphokinase,,epilepsy,otodone/clorexy foam intermittantly ( max twice
CPR,Cardiopulmonary resuscitation,,epileptic,otomax
CSF,Cerebrospinal fluid,,Epiphora,overdoes
CT,Computed tomography,,epiphora,overgroomin spine
DIC,Disseminated intravascular coagulation,,episcleral congestion,overweigth
ECG,Electrocardiogram,,eruthematous vulva,owner= focal fat
EDTA,Ethylenediaminetetraacetic acid,,Erythema,oxytetracycline
ELISA,Enzyme-linked immunosorbent assay,,erythema,pallete
EPA,Environmental Protection Agency,,erythema esp,paracetamol
EPG,Eggs per gram of feces,,eschar,paracetomol
ER,Emergency room,,esp,paracetomol Â 
EU,European Union,,Exam - goitre,parvo
FDA,Food and Drug Administration,,examination - conjuntivitis,parvo vacc
H&E,Hematoxylin and eosin,,excema,peptivet
Hgb,Hemoglobin,,excoriated,pholcodine
ICU,Intensive care unit,,excoriation,pilocarpine
IL,Interleukin,,excoriations,piriton
IM,Intramuscularly,,extraintestinal,piriton 2ml
IP,Intraperitoneally,,Eyelid,piriton tablets
J,Joule,,eyelid,prednisolone
kg,Kilograms,,eys,previcox
L,Liters,,faecal incontinence,propentofylline
LDH,Lactate dehydrogenase,,faints,propofol
lb,Pounds,,fatty,proxymetacaine
m,Meters,,fatty / soft lumps,proxymetacaine Intranasal
M,Molar,,fatty Intranasal consistancy -,prozac
ME,Metabolizable energy,,fatty lump,ranitidine
mEq,Milliequivalents,,Fatty lumps,rimadyl
mg,Milligrams,,fatty lumps,sachet AM half
mL,Milliliters,,Fatty lumps - RIGHT,saline
mm,Millimeters,,fatty masses/ warts,saline flush
MRI,Magnetic resonance imaging,,fatty type lump,salt h20
NRC,National Research Council,,fatty type masses -no change Adv,salt water
NSAIDs,Nonsteroidal antiinflammatory drugs,,Feline leukemia,salted water
OIE,Office International des Épizooties,,Feline leukemia virus,sat-
oz,Ounces,,Feline leukemia virus '',sliight tartar
p/pp,Page/pages,,Feline leukemia virus - 5n3701,sotalol
PCR,Polymerase chain reaction,,Feline leukemia virus - a315c01,spironolactone
PCV,Packed cell volume,,Feline leukemia virus - booster,stomorgyl
pH,Negative logarithm of hydrogen ion activity,,Feline leukemia virus - just had,supralorin
PO,"Per os, orally",,Feline leukemia virus ( 5lzx01 ),surolan
ppb,Parts per billion,,"Feline leukemia virus , RC 1",surolan for 7-10
ppm,Parts per million,,Feline leukemia virus 4FT201 '',surolan onexternal pinna
qid,Four times a day,,Feline leukemia virus 4MTS01,synuclav
RBCs,Red blood cells,,Feline leukemia virus 4pk402,synuclav for 7
RNA,Ribonucleic acid,,Feline leukemia virus 5cb301,tablet Intranasal
RT-PCR,Reverse transcription polymerase chain reaction,,Feline leukemia virus 5EHK01,tablet dewormin
SC,Subcutaneously,,Feline leukemia virus 5FZV01,tacheal
sec,Seconds,,Feline leukemia virus 5fzv01,taht
SPF,Specific pathogen free,,Feline leukemia virus 5hx201,taratr
sq,Square,,Feline leukemia virus 5LRE01,tartar
tbsp,Tablespoons,,Feline leukemia virus 5n3701,tartar ''
TDN,Total digestible nutrients,,Feline leukemia virus 5TUF01,tartar -
tid,Three times a day,,Feline leukemia virus 69fh02 exp 02.2019,tartar - discussed dental
tsp,Teaspoons,,Feline leukemia virus 6D3X01,tartar - monitor
U,Units,,Feline leukemia virus 6F5601 '',tartar Intranasal back molars
UK,United Kingdom,,Feline leukemia virus 6hww01,tartar Owner
USDA,United States Department of Agriculture,,Feline leukemia virus 6KVT01,tartar Owner Reports gingivitis
USA,United States of America,,Feline leukemia virus 6UW201,tartar UPM4s
USSR,Union of Soviet Socialist Republics former,,Feline leukemia virus 6WLM02,tartar accum
WBCs,White blood cells,,Feline leukemia virus A349E01,tartar bilud
WHO,World Health Organization,,Feline leukemia virus A350,tartar care w/ weight ! reduce
wk,Weeks,,Femtoliter lameness,tartar ciadal molars
wt,Weight,,fibroepithelial polyp,tartar ear/eyes
yr,Years,,fibrosis,tartar upper
α,Alpha,,fistula,tartar-adv
β,Beta,,fits,tartat
δ,Delta,,flaccid,tartur
ε,Epsilon,,flakiness,tenesums
γ,Gamma,,flaky,test/biopsies
λ,Lambda,,flaky scabs,tetracaine
μ,"Micro, mu",,Flare,thatn
κ,Kappa,,Flare of skin,thgis
σ,Sigma,,flatulence,thiks
ADR,Ain't doing right,,flatulent,tin
AU/AD/AS,"Ears-both, right, left",,flushing,topical meds
BAR,Bright Alert Responsive,,FNA/biopsy,topical steroid cream
BCS,Body Condition Score,,FOC,tramadol
BD,Big Dog,,focal pain,tramadol Intranasal
BID/Q12hr,Twice daily,,folliculitis,tramodol
BIOP,Been in owner's possession,,foot- lame,tricat Weight
BP,Blood Pressure,,Fore Leg lameness,tricat/felv Subcutaneous
CCSM,Caudal cervical spondylomyelopathy,,Fore Leg limp,trusopt
CHD,Canine hip dysplasia,,forebrain,tto nueter
CP,Conscious proprioception,,Forelimb lameness,tylan
DISH,Diffuse idiopathic skeletal hyperostosis,,foriegn,v.d.c.s
DJD,Degenerative joint disease,,fracture,vacccine
DPO,Double pelvic osteotomy,,fractures,vaccs 11th
Dx,Diagnosis,,froma,vacs/flea/worming
EOD,Every other day,,frothy,vavlular incompetencies Owner Reports
FCE,Fibrocartilaginous embolism,,fullness,vcrusty
FCP,Fragmented medial coronoid process,,functional lameness,vdcs
FHNE,Femoral Head and Neck Excision,,fur loss,vectra Owner
FHO,Femoral Head Osteotomy,,furunculosis,ventral 4 paws bilat mucoid oculare disch
FL,Front limb,,Gait abnormality,ventralk abdomen
FUO,Fever of unknown origin,,gastric erosion / ulceration,vetmedin adn
Fx,Fracture,,gastric protectors,vetoquinol
GAGs,Glycosaminoglycans,,Gastritis,vincristine
HBC,Hit by car,,gastritis,visbly
HD,Hip dysplasia,,Gastroenteritis,vit B12
HL,Hind limb,,gastroenteritis,vit B12 injs
HOD,Hypertrophic osteodystrophy,,gastrointesinal dry,vit b
HR,Heart rate,,Gastrointestinal dry,vit b12
Hx,History,,Gastrointestinal for 2,vit k
IM,Intramuscular,,gastrointestinal infection,vitamins
INI,If no improvement,,Gastrointestinal low fat with,vitb
IV,Intravenous,,Gastrointestinal pain,viti
IVDD,Intervertebral disc disease,,Gastrointestinal problems,vlephrospasm
LCPD/LCP,Legg Calve Perthes Disease,,Gastrointestinal signs,worme tablet
LD,Little Dog,,gastrointestinal signs,wormer
MPL,Medial patellar luxation,,Gastrointestinal symptoms,wormer 2
MSI,Medial shoulder instability,,Gastrointestinal tract,wormer 2-3
MSS,Medial shoulder syndrome,,gastrointestinal tract,wormer Intranasal a
NAD,No abnormality detected / No apparent distress,,Gastrointestinal tract upset,wormer approx 2
NDR,No Doctor Requested,,gastrointestinal upset,ws fine
NDR,Not doing right,,Gastrointestinal upset from hoof she,xanax
NPO,Nothing per oral / Nothing given orally,,generalised,zantac
NSAID,Non-steroidal anti-inflammatory drug,,Generalised itchiness,zantac .
NSF,Non-sufficient findings / No significant findings,,giardia,zantac Â 
OA,Osteoarthritis,,gingival growths,zylkene
OCD,Osteochondritis / Osteochondrosis dessicans,,gingival hyperplasia and periodontal disease,zylkene Owner Reports dap collar
OR,Owner reports,,Gingivitis,Intranasal 2 week
PE,Physical exam,,gingivitis,Intranasal 4 week
PL,Pelvic limb,,ginigivitis,B12
PO,Per Oral / by mouth,,gland hyperplasia,murexide
PRN,Pro re nata / As needed,,glaucoma,
RI,Renal insufficiency,,Goitre,
Rx,Prescribe / prescription,,goitre,
SHIG,See how it goes,,granuloma,
SOAP,"Subjective, Objective, Assessment, Plan",,greasy,
SQ,Subcutaneous,,Green Diarrhoea,
TID/Q8hr,Three times daily,,green diarrhoea,
TL,Thoracic limb,,greenish ocular,
TPA,Tibial Plateau Angle,,grey dry,
TPLO,Tibial Plateau Leveling Osteotomy,,groaning,
TPO,Triple Pelvic Osteotomy,,Groins,
TPR,"Temperature, Pulse, Respiration",,GSD droppped hip gait,
TTA,Tibial Tuberosity Advancement,,gum disease,
TTT,Tibial Tuberosity Transposition,,hacking,
UAP,Ununited anconeal process,,hacking cough,
UWTM,Underwater treadmill,,haematochezia,
WB,Will Bite,,haematoma,
WNL,Within Normal Limits,,haematuria,
ac,Before meals,,haematuric,
adlib,At pleasure,,haemopurulent,
amp,Ampoule,,haemorrhage,
bid,Twice a day,,haemostasis,
cap,Capsule,,haernia,
im,Intramuscular,,hair damage,
mg,Milligram,,hair dry,
ml,Millilitre,,hair epilate,
om,In the morning,,Hair loss,
on,At night,,hair loss,
pc,After meals,,hairloss,
po,"By mouth, orally",,hairy itchy,
prn,As required,,Halitosis,
q,"Every, e g  q8h = every 8 hours",,halitosis,
qds,Four times a day,,halitosis dribbling,
qs,A sufficient quantity,,hamatoma,
sc,Subcutaneous,,hametoma,
sid,Once a day,,hayfever,
Sig,Directions/label,,head and skin tag,
stat,Immediately,,Head rubbing,
susp,Suspension,,head trauma,
tab,Tablet,,head Vomiting,
tds,Three times a day,,headache,
ACE,Angiotensin converting enzyme,,heamaturia,
ACTH,Adrenocorticotropic hormone,,hearing loss,
AV,Atrioventricular,,heart disease,
CBC,Complete blood count,,heart dz,
CHF,Congestive heart failure,,heart murmer,
CNS,Central nervous system,,heart murmur,
COX,Cyclo-oxygenase,,heart murmur 3-6,
CRI,Continuous rate infusion,,heart murmurs,
CSF,Cerebrospinal fluid,,heart pounding,
